,Name,Date,Open,High,Low,Close,Adj Close,Volume,5-day Avg,7-day Avg,Signal
0,Fin Nifty,2022-07-01,15395.900391,15674.900391,15315.049805,15620.75,15620.75,707500.0,,,
1,Fin Nifty,2022-07-04,15600.700195,15786.400391,15559.599609,15766.5,15766.5,468400.0,,,
2,Fin Nifty,2022-07-05,15855.200195,15981.5,15695.299805,15729.150391,15729.150391,861500.0,,,
3,Fin Nifty,2022-07-06,15745.049805,16009.849609,15735.400391,15980.25,15980.25,716900.0,,,
4,Fin Nifty,2022-07-07,16109.299805,16196.799805,16031.700195,16179.0,16179.0,696900.0,15929.890039200001,,
5,Fin Nifty,2022-07-08,16332.400391,16332.400391,16188.450195,16260.200195,16260.200195,630900.0,16061.390039199998,,
6,Fin Nifty,2022-07-11,16217.650391,16403.900391,16211.5,16365.599609,16365.599609,589800.0,16184.890039199998,16055.107282571427,Buy
7,Fin Nifty,2022-07-12,16282.75,16306.400391,16168.150391,16200.599609,16200.599609,474100.0,16249.870117399998,16145.321568285714,
8,Fin Nifty,2022-07-13,16260.650391,16291.599609,16025.950195,16043.849609,16043.849609,536500.0,16306.220117399998,16217.492885142856,
9,Fin Nifty,2022-07-14,16065.599609,16165.900391,15950.650391,15998.75,15998.75,531200.0,16300.0402346,16243.835798142856,
10,Fin Nifty,2022-07-15,16035.799805,16128.799805,15976.099609,16112.75,16112.75,427500.0,16259.320117399999,16260.828683285714,
11,Fin Nifty,2022-07-18,16164.25,16351.599609,16120.0,16341.450195,16341.450195,650100.0,16248.859961,16282.942941,Sell
12,Fin Nifty,2022-07-19,16248.049805,16458.75,16246.099609,16436.199219,16436.199219,686900.0,16279.3298828,16300.992885142858,
13,Fin Nifty,2022-07-20,16593.25,16617.849609,16487.900391,16530.099609,16530.099609,827000.0,16344.5798828,16331.557059142857,Buy
14,Fin Nifty,2022-07-21,16531.050781,16631.150391,16466.349609,16600.5,16600.5,631700.0,16437.6298828,16377.949916285714,
15,Fin Nifty,2022-07-22,16663.449219,16897.050781,16643.349609,16858.550781,16858.550781,655800.0,16591.280078,16464.44294085714,
16,Fin Nifty,2022-07-25,16855.800781,16964.349609,16738.25,16837.550781,16837.550781,642500.0,16713.830078,16578.507114857144,
17,Fin Nifty,2022-07-26,16850.400391,16855.300781,16697.849609,16734.099609,16734.099609,623300.0,16793.1402342,16682.29296857143,
18,Fin Nifty,2022-07-27,16717.699219,16891.849609,16661.550781,16880.300781,16880.300781,656800.0,16847.940234200003,16759.471540000002,
19,Fin Nifty,2022-07-28,17022.5,17310.400391,16998.25,17280.0,17280.0,824900.0,16983.7902342,16881.13588157143,
20,Fin Nifty,2022-07-29,17470.75,17506.849609,17290.400391,17437.800781,17437.800781,922400.0,17105.749999800002,17008.13588157143,
21,Fin Nifty,2022-08-01,17512.550781,17602.449219,17414.0,17584.199219,17584.199219,596800.0,17233.3699218,17146.892857000003,
22,Fin Nifty,2022-08-02,17518.5,17595.849609,17385.949219,17538.800781,17538.800781,726400.0,17381.4796874,17246.721261000002,
23,Fin Nifty,2022-08-03,17513.199219,17574.550781,17375.550781,17551.699219,17551.699219,770800.0,17518.019921799998,17333.892857,
24,Fin Nifty,2022-08-04,17613.150391,17641.75,17245.75,17472.050781,17472.050781,655900.0,17584.2898436,17446.24274542857,
25,Fin Nifty,2022-08-05,17515.699219,17616.949219,17466.199219,17534.550781,17534.550781,767700.0,17606.3097656,17549.828404,
26,Fin Nifty,2022-08-08,17519.800781,17729.449219,17440.650391,17697.599609,17697.599609,837500.0,17631.7097656,17609.692522285713,
27,Fin Nifty,2022-08-10,17741.150391,17764.900391,17643.849609,17699.099609,17699.099609,823200.0,17665.519922,17646.556919714287,
28,Fin Nifty,2022-08-11,17898.699219,17998.5,17858.300781,17977.400391,17977.400391,853400.0,17750.3097658,17703.135602714287,
29,Fin Nifty,2022-08-12,17993.0,18075.349609,17918.949219,18055.150391,18055.150391,629500.0,17837.0296876,17771.635602714287,
30,Fin Nifty,2022-08-16,18152.349609,18243.550781,18122.599609,18191.349609,18191.349609,0.0,17962.35,17867.207031285714,
31,Fin Nifty,2022-08-17,18230.150391,18374.5,18144.25,18348.25,18348.25,873900.0,18091.3601562,17971.885602714287,
32,Fin Nifty,2022-08-18,18287.0,18427.349609,18272.949219,18406.050781,18406.050781,745500.0,18223.849999799997,18087.657087,
33,Fin Nifty,2022-08-19,18425.050781,18450.199219,18064.699219,18114.900391,18114.900391,670700.0,18314.189843599997,18190.621372714286,
34,Fin Nifty,2022-08-22,17997.050781,18007.949219,17749.800781,17763.400391,17763.400391,600400.0,18300.7097656,18225.34263385714,
35,Fin Nifty,2022-08-23,17626.849609,17963.949219,17621.349609,17897.349609,17897.349609,625300.0,18244.7894532,18220.406808,
36,Fin Nifty,2022-08-24,17815.800781,18011.650391,17814.050781,17987.0,17987.0,609100.0,18172.2195314,18211.306919714283,
37,Fin Nifty,2022-08-25,18053.849609,18165.800781,17862.349609,17916.349609,17916.349609,673900.0,18119.909765800003,18200.199776857142,Sell
38,Fin Nifty,2022-08-26,18010.150391,18102.300781,17879.050781,17933.900391,17933.900391,582700.0,18050.3300782,18161.31417414286,
39,Fin Nifty,2022-08-29,17533.25,17693.400391,17481.050781,17631.699219,17631.699219,610200.0,17987.4203126,18056.464285857142,
40,Fin Nifty,2022-08-30,17734.550781,18265.699219,17724.900391,18235.050781,18235.050781,962000.0,18047.770312599998,18030.107142999997,Buy
41,Fin Nifty,2022-09-01,17913.949219,18248.5,17912.75,18056.0,18056.0,900600.0,18095.1402344,18064.471540285715,
42,Fin Nifty,2022-09-02,18108.199219,18219.949219,17996.449219,18147.25,18147.25,604800.0,18105.969922,18101.042968857142,
43,Fin Nifty,2022-09-05,18159.199219,18304.800781,18154.449219,18264.900391,18264.900391,515800.0,18146.469921999997,18142.921596,
44,Fin Nifty,2022-09-06,18301.349609,18385.699219,18162.75,18197.900391,18197.900391,807400.0,18284.9296876,18174.33565857143,
45,Fin Nifty,2022-09-07,18052.0,18189.050781,18043.25,18140.5,18140.5,588700.0,18269.6,18186.728515714283,
46,Fin Nifty,2022-09-08,18274.400391,18426.949219,18249.75,18409.449219,18409.449219,695000.0,18305.2898438,18291.521205428573,
47,Fin Nifty,2022-09-09,18537.25,18553.5,18353.75,18383.949219,18383.949219,701700.0,18372.0,18332.635602714287,
48,Fin Nifty,2022-09-12,18427.400391,18494.5,18360.150391,18437.599609,18437.599609,599100.0,18409.9398438,18367.77845985714,
49,Fin Nifty,2022-09-13,18571.050781,18638.199219,18544.599609,18605.349609,18605.349609,888000.0,18460.4398438,18427.52845985714,
50,Fin Nifty,2022-09-14,18333.400391,18857.800781,18333.400391,18745.599609,18745.599609,908800.0,18594.1898438,18506.52845985714,
51,Fin Nifty,2022-09-15,18800.75,18923.900391,18609.949219,18654.900391,18654.900391,780100.0,18693.5800782,18583.414341571428,
52,Fin Nifty,2022-09-16,18545.800781,18599.25,18271.150391,18372.050781,18372.050781,1152900.0,18702.730078200002,18642.01423,
53,Fin Nifty,2022-09-19,18348.599609,18576.0,18274.300781,18492.599609,18492.599609,675100.0,18719.0300782,18663.307198714287,
54,Fin Nifty,2022-09-20,18656.900391,18842.199219,18614.5,18750.75,18750.75,704200.0,18759.8300782,18704.549944285714,
55,Fin Nifty,2022-09-21,18664.699219,18774.150391,18518.75,18662.150391,18662.150391,531600.0,18743.1000002,18744.50000014286,Sell
56,Fin Nifty,2022-09-22,18504.949219,18581.5,18274.949219,18403.699219,18403.699219,699200.0,18674.619921999998,18736.400111714287,
57,Fin Nifty,2022-09-23,18300.199219,18342.550781,17882.800781,17947.25,17947.25,786800.0,18623.2800782,18662.792968857142,
58,Fin Nifty,2022-09-26,17723.199219,17816.449219,17511.150391,17565.300781,17565.300781,855800.0,18471.369921999998,18504.58565857143,
59,Fin Nifty,2022-09-27,17636.949219,17737.150391,17361.349609,17424.050781,17424.050781,786700.0,18250.360156400002,18381.42857157143,
60,Fin Nifty,2022-09-28,17301.050781,17449.949219,17155.349609,17210.050781,17210.050781,763700.0,17985.519922,18220.564174285715,
61,Fin Nifty,2022-09-29,17345.099609,17411.800781,17080.699219,17123.0,17123.0,893600.0,17751.5800782,18016.221540285715,
62,Fin Nifty,2022-09-30,17095.150391,17609.400391,16983.75,17506.650391,17506.650391,928700.0,17604.950000200002,17849.82868314286,
63,Fin Nifty,2022-10-03,17438.349609,17495.75,17232.300781,17270.199219,17270.199219,607100.0,17540.810156400003,17694.721540285715,
64,Fin Nifty,2022-10-04,17564.099609,17761.300781,17525.650391,17741.050781,17741.050781,581500.0,17545.6402344,17611.685826,
65,Fin Nifty,2022-10-06,17830.449219,17900.449219,17730.75,17749.050781,17749.050781,704100.0,17635.7402344,17623.685826,Buy
66,Fin Nifty,2022-10-07,17663.550781,17737.75,17579.099609,17707.0,17707.0,579900.0,17700.9300782,17623.771484428573,
67,Fin Nifty,2022-10-10,17488.550781,17720.599609,17409.800781,17626.5,17626.5,627800.0,17723.1699218,17662.43582585714,
68,Fin Nifty,2022-10-11,17591.5,17675.050781,17414.949219,17455.199219,17455.199219,685800.0,17759.030078,17700.042968714286,
69,Fin Nifty,2022-10-12,17472.650391,17624.449219,17421.650391,17603.849609,17603.849609,746800.0,17731.6597656,17702.192801285713,
70,Fin Nifty,2022-10-13,17520.050781,17552.199219,17316.699219,17389.449219,17389.449219,704900.0,17662.0097656,17710.256975428572,
71,Fin Nifty,2022-10-14,17726.150391,17820.25,17646.150391,17705.5,17705.5,572700.0,17678.5097656,17718.678292428573,Sell
72,Fin Nifty,2022-10-17,17680.75,17929.25,17624.849609,17908.900391,17908.900391,667000.0,17720.239843800002,17722.792689714286,
73,Fin Nifty,2022-10-18,18038.0,18080.050781,17961.050781,18021.300781,18021.300781,793000.0,17801.239843800002,17771.692801285713,Buy
74,Fin Nifty,2022-10-19,18163.25,18227.050781,18030.5,18093.75,18093.75,624000.0,17921.760156199998,17844.042968714286,
75,Fin Nifty,2022-10-20,17980.949219,18086.5,17912.25,18057.25,18057.25,608300.0,18028.6203124,17902.821428571428,
76,Fin Nifty,2022-10-21,18154.849609,18300.849609,18115.050781,18194.099609,18194.099609,1288800.0,18124.7402342,17999.450055714286,
77,Fin Nifty,2022-10-24,18442.5,18476.699219,18393.949219,18424.75,18424.75,177200.0,18234.230078,18131.521484285713,
78,Fin Nifty,2022-10-25,18504.050781,18515.449219,18245.099609,18280.900391,18280.900391,931100.0,18321.3097656,18230.835658428572,
79,Fin Nifty,2022-10-27,18441.400391,18456.400391,18281.050781,18334.050781,18334.050781,1082900.0,18367.1796876,18306.14285714286,
80,Fin Nifty,2022-10-28,18313.650391,18450.75,18218.599609,18284.300781,18284.300781,888700.0,18440.0296876,18359.099888428573,
81,Fin Nifty,2022-10-31,18416.650391,18554.5,18385.150391,18538.300781,18538.300781,786000.0,18490.7597658,18405.878348285714,
82,Fin Nifty,2022-11-01,18641.949219,18734.550781,18558.199219,18606.400391,18606.400391,966500.0,18542.3300782,18498.457031285714,
83,Fin Nifty,2022-11-02,18670.0,18687.400391,18542.150391,18577.150391,18577.150391,669100.0,18576.720312600002,18553.67857157143,
84,Fin Nifty,2022-11-03,18439.0,18654.150391,18434.150391,18582.25,18582.25,760000.0,18616.2703126,18579.028739,
85,Fin Nifty,2022-11-04,18568.699219,18692.449219,18515.25,18599.699219,18599.699219,818400.0,18664.6101564,18604.314453285715,
86,Fin Nifty,2022-11-07,18751.550781,18767.900391,18580.75,18739.25,18739.25,1089000.0,18707.290234599997,18648.814453285715,
87,Fin Nifty,2022-11-09,18804.099609,18823.5,18646.099609,18689.349609,18689.349609,728200.0,18725.0800784,18702.064453285715,
88,Fin Nifty,2022-11-10,18566.599609,18636.099609,18493.25,18604.599609,18604.599609,860000.0,18714.819922,18713.721540285715,
89,Fin Nifty,2022-11-11,18853.900391,19117.699219,18795.949219,19007.900391,19007.900391,1421500.0,18807.5296876,18768.457031428574,
90,Fin Nifty,2022-11-14,19028.900391,19062.0,18920.25,18970.849609,18970.849609,667300.0,18881.4398438,18821.97126128571,
91,Fin Nifty,2022-11-15,19032.75,19118.400391,18946.449219,19083.599609,19083.599609,646200.0,18951.5398438,18888.29268985714,
92,Fin Nifty,2022-11-16,19054.0,19192.550781,19013.699219,19148.349609,19148.349609,731300.0,19025.35,18959.73577014286,
93,Fin Nifty,2022-11-17,19079.099609,19193.400391,19043.800781,19077.0,19077.0,754300.0,19136.810156400003,19020.521484428573,
94,Fin Nifty,2022-11-18,19112.449219,19134.349609,18971.099609,19070.949219,19070.949219,791600.0,19140.1402344,19064.928571428572,
95,Fin Nifty,2022-11-21,18993.900391,19024.400391,18902.599609,18949.599609,18949.599609,580400.0,19132.6203126,19120.400111714287,
96,Fin Nifty,2022-11-22,18987.699219,19000.400391,18940.199219,18973.199219,18973.199219,611900.0,19109.0203126,19103.643136285715,
97,Fin Nifty,2022-11-23,19069.900391,19128.099609,19019.75,19069.099609,19069.099609,713800.0,19096.1300782,19113.085937571428,Sell
98,Fin Nifty,2022-11-24,19124.699219,19318.550781,19096.800781,19277.0,19277.0,944000.0,19121.1601562,19141.678850428572,
99,Fin Nifty,2022-11-25,19324.900391,19340.949219,19165.25,19216.900391,19216.900391,1151000.0,19162.480078200002,19162.878627285714,
100,Fin Nifty,2022-11-28,19096.449219,19257.599609,19091.949219,19200.199219,19200.199219,1009300.0,19209.1199218,19172.04994414286,Buy
101,Fin Nifty,2022-11-29,19176.449219,19320.0,19176.449219,19231.449219,19231.449219,734200.0,19273.0398436,19198.571428571428,
102,Fin Nifty,2022-11-30,19266.699219,19407.699219,19197.550781,19358.849609,19358.849609,1035600.0,19328.9597656,19253.328404,
103,Fin Nifty,2022-12-01,19480.650391,19483.050781,19307.099609,19369.050781,19369.050781,893100.0,19361.8597656,19322.278459714285,
104,Fin Nifty,2022-12-02,19232.300781,19292.550781,19193.0,19249.550781,19249.550781,646900.0,19352.180077999998,19345.771484285713,
105,Fin Nifty,2022-12-05,19300.400391,19319.349609,19165.150391,19297.300781,19297.300781,729100.0,19364.530078,19345.885602571427,
106,Fin Nifty,2022-12-06,19174.300781,19256.949219,19174.300781,19242.300781,19242.300781,732500.0,19351.9199218,19333.885602571427,
107,Fin Nifty,2022-12-07,19247.199219,19303.300781,19139.449219,19180.449219,19180.449219,920000.0,19331.040234199998,19340.41434142857,
108,Fin Nifty,2022-12-08,19185.150391,19312.699219,19156.550781,19292.400391,19292.400391,972900.0,19296.9699218,19339.371372714286,Sell
109,Fin Nifty,2022-12-09,19362.400391,19367.849609,19200.199219,19290.349609,19290.349609,745600.0,19312.029687399998,19333.678571285713,
110,Fin Nifty,2022-12-12,19191.550781,19357.349609,19148.699219,19313.800781,19313.800781,693600.0,19319.629687400004,19315.721261,Buy
111,Fin Nifty,2022-12-13,19346.25,19429.949219,19336.449219,19409.849609,19409.849609,731000.0,19354.2296874,19335.349609285713,
112,Fin Nifty,2022-12-14,19465.900391,19515.900391,19433.599609,19466.0,19466.0,784200.0,19396.7496094,19363.428292428573,
113,Fin Nifty,2022-12-15,19421.150391,19477.199219,19171.099609,19216.0,19216.0,732100.0,19429.6496094,19394.89257814286,
114,Fin Nifty,2022-12-16,19106.0,19220.349609,19030.75,19111.949219,19111.949219,711100.0,19400.1496094,19383.042410714286,
115,Fin Nifty,2022-12-19,19153.5,19295.900391,19100.199219,19277.699219,19277.699219,515500.0,19387.8597658,19380.64257814286,
116,Fin Nifty,2022-12-20,19149.5,19245.949219,19068.150391,19222.300781,19222.300781,529800.0,19351.0597658,19363.228236714287,
117,Fin Nifty,2022-12-21,19283.400391,19329.0,18839.0,18925.199219,18925.199219,693400.0,19313.6796876,19359.178292571425,Sell
118,Fin Nifty,2022-12-22,19026.150391,19053.75,18787.150391,18858.599609,18858.599609,773600.0,19228.989843800002,19305.435546999997,
119,Fin Nifty,2022-12-23,18675.699219,18779.25,18571.949219,18595.599609,18595.599609,820600.0,19140.769922,19200.199776857142,
120,Fin Nifty,2022-12-26,,,,,,,,,
121,Fin Nifty,2022-12-27,19002.050781,19036.849609,18838.300781,19011.199219,19011.199219,474700.0,,,
122,Fin Nifty,2022-12-28,18956.300781,19042.599609,18940.550781,18982.849609,18982.849609,520000.0,,,
123,Fin Nifty,2022-12-29,18903.150391,19179.150391,18796.949219,19090.599609,19090.599609,853900.0,,,
